year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,_csv_row
2024,1,30,2,2024-01-30,WN,1099.0,CMH,"Columbus, OH",Ohio,MDW,"Chicago, IL",Illinois,2010,2004.0,-6.0,8.0,2012.0,1959.0,7.0,2025,2006.0,7.0,0,,0,75.0,240.0,225.0,283.0,0,0,0,0,0,526377
2024,2,12,1,2024-02-12,DL,8808.0,LAS,"Las Vegas, NV",Nevada,SFO,"San Francisco, CA",California,1320,1325.0,5.0,21.0,1346.0,1454.0,4.0,1505,1458.0,-7.0,0,,0,150.0,138.0,113.0,414.0,0,0,0,0,0,746793
2024,2,26,1,2024-02-26,AA,1501.0,BZN,"Bozeman, MT",Montana,ORD,"Chicago, IL",Illinois,1335,1344.0,9.0,181.0,1627.0,1956.0,31.0,1736,2027.0,171.0,0,,0,181.0,343.0,149.0,1185.0,0,9,162,0,0,993864
2024,2,27,2,2024-02-27,OO,4157.0,CLE,"Cleveland, OH",Ohio,LGA,"New York, NY",New York,605,554.0,-11.0,27.0,621.0,1404.0,6.0,754,1410.0,305.0,0,,0,109.0,425.0,392.0,419.0,0,0,305,0,0,1022341
2024,3,8,5,2024-03-08,WN,1536.0,ABQ,"Albuquerque, NM",New Mexico,HOU,"Houston, TX",Texas,1625,1728.0,63.0,7.0,1735.0,2006.0,3.0,1920,2009.0,49.0,0,,0,115.0,249.0,239.0,759.0,0,0,49,0,0,1210945
2024,3,8,5,2024-03-08,WN,3134.0,STL,"St. Louis, MO",Missouri,LAS,"Las Vegas, NV",Nevada,1955,2029.0,34.0,12.0,2041.0,2145.0,5.0,2135,2150.0,15.0,0,,0,220.0,352.0,335.0,1371.0,0,0,15,0,0,1212675
2024,3,9,6,2024-03-09,F9,3683.0,LGA,"New York, NY",New York,MCO,"Orlando, FL",Florida,2250,38.0,108.0,18.0,56.0,440.0,27.0,151,507.0,196.0,0,,0,181.0,251.0,206.0,950.0,56,0,70,0,70,1222390
2024,3,9,6,2024-03-09,WN,2368.0,AUS,"Austin, TX",Texas,MCO,"Orlando, FL",Florida,2025,2135.0,70.0,14.0,2149.0,45.0,129.0,2350,254.0,184.0,0,,0,145.0,261.0,118.0,994.0,0,0,175,0,9,1229650
2024,3,9,6,2024-03-09,WN,2408.0,FLL,"Fort Lauderdale, FL",Florida,MCO,"Orlando, FL",Florida,1925,2320.0,235.0,28.0,2348.0,30.0,119.0,2035,229.0,354.0,0,,0,70.0,192.0,45.0,177.0,4,0,119,0,231,1229692
2024,3,9,6,2024-03-09,WN,2423.0,HOU,"Houston, TX",Texas,MCO,"Orlando, FL",Florida,1635,2156.0,321.0,18.0,2214.0,59.0,169.0,1950,348.0,478.0,0,,0,135.0,294.0,107.0,849.0,0,0,478,0,0,1229707
2024,3,9,6,2024-03-09,WN,2472.0,MSY,"New Orleans, LA",Louisiana,MCO,"Orlando, FL",Florida,2050,2257.0,127.0,14.0,2311.0,125.0,167.0,2330,412.0,282.0,0,,0,100.0,261.0,80.0,551.0,0,109,158,0,15,1229757
2024,3,9,6,2024-03-09,WN,2498.0,STL,"St. Louis, MO",Missouri,MCO,"Orlando, FL",Florida,2120,2230.0,70.0,22.0,2252.0,209.0,167.0,40,456.0,256.0,0,,0,140.0,328.0,139.0,882.0,0,0,186,0,70,1229775
2024,3,9,6,2024-03-09,WN,2717.0,HOU,"Houston, TX",Texas,MCO,"Orlando, FL",Florida,2005,29.0,264.0,22.0,51.0,329.0,128.0,2325,537.0,372.0,0,,0,140.0,250.0,100.0,849.0,0,0,316,0,56,1229958
2024,3,9,6,2024-03-09,WN,2877.0,RDU,"Raleigh/Durham, NC",North Carolina,MCO,"Orlando, FL",Florida,2130,2306.0,96.0,10.0,2316.0,47.0,157.0,2310,324.0,254.0,0,,0,100.0,259.0,92.0,534.0,0,0,158,0,96,1230094
2024,3,9,6,2024-03-09,WN,3032.0,SJC,"San Jose, CA",California,ONT,"Ontario, CA",California,2140,34.0,174.0,11.0,45.0,137.0,12.0,2255,149.0,166.0,0,,0,75.0,67.0,44.0,333.0,57,0,0,0,109,1230207
2024,3,9,6,2024-03-09,WN,3559.0,BWI,"Baltimore, MD",Maryland,MCO,"Orlando, FL",Florida,1935,118.0,343.0,14.0,132.0,336.0,145.0,2200,601.0,481.0,0,,0,145.0,289.0,130.0,787.0,0,0,373,0,108,1230614
2024,3,9,6,2024-03-09,WN,4182.0,MCI,"Kansas City, MO",Missouri,MCO,"Orlando, FL",Florida,1525,2137.0,372.0,8.0,2145.0,112.0,162.0,1900,354.0,534.0,0,,0,155.0,323.0,153.0,1072.0,362,0,165,0,7,1231051
2024,3,9,6,2024-03-09,WN,500.0,BWI,"Baltimore, MD",Maryland,MCO,"Orlando, FL",Florida,1845,2237.0,232.0,17.0,2254.0,134.0,157.0,2110,411.0,421.0,0,,0,145.0,336.0,162.0,787.0,106,0,191,0,124,1231479
2024,3,11,1,2024-03-11,WN,3852.0,RNO,"Reno, NV",Nevada,LAS,"Las Vegas, NV",Nevada,2145,2130.0,-15.0,10.0,2140.0,2240.0,16.0,2305,2256.0,-20.0,0,,0,80.0,200.0,174.0,345.0,0,0,0,0,0,1270145
2024,3,12,2,2024-03-12,WN,4187.0,HOU,"Houston, TX",Texas,PNS,"Pensacola, FL",Florida,1100,1055.0,-5.0,13.0,1108.0,1212.0,15.0,1220,1227.0,-9.0,0,,0,80.0,76.0,48.0,488.0,0,0,0,0,0,1289127
2024,3,13,3,2024-03-13,WN,2332.0,MCO,"Orlando, FL",Florida,MCI,"Kansas City, MO",Missouri,2040,2058.0,18.0,13.0,2111.0,2253.0,121.0,2240,54.0,134.0,0,,0,180.0,298.0,164.0,1072.0,0,0,116,0,18,1306300
2024,3,17,7,2024-03-17,WN,2791.0,MCO,"Orlando, FL",Florida,DAL,"Dallas, TX",Texas,1915,1932.0,17.0,9.0,1941.0,2113.0,7.0,2110,2120.0,10.0,0,,0,175.0,310.0,294.0,973.0,0,0,0,0,0,1384381
2024,3,20,3,2024-03-20,WN,2299.0,MCI,"Kansas City, MO",Missouri,LAX,"Los Angeles, CA",California,1855,1921.0,26.0,5.0,1926.0,2016.0,11.0,2035,2027.0,-8.0,0,,0,220.0,309.0,293.0,1363.0,0,0,0,0,0,1441601
2024,3,21,4,2024-03-21,WN,1782.0,BNA,"Nashville, TN",Tennessee,JAX,"Jacksonville, FL",Florida,745,744.0,-1.0,15.0,759.0,1017.0,3.0,1015,1020.0,-7.0,0,,0,90.0,84.0,66.0,483.0,0,0,0,0,0,1460978
2024,3,23,6,2024-03-23,WN,1457.0,DEN,"Denver, CO",Colorado,FLL,"Fort Lauderdale, FL",Florida,1255,1305.0,10.0,13.0,1318.0,1847.0,125.0,1835,2052.0,137.0,0,,0,220.0,350.0,212.0,1703.0,10,0,127,0,0,1499142
2024,3,23,6,2024-03-23,WN,2726.0,MDW,"Chicago, IL",Illinois,MIA,"Miami, FL",Florida,1340,1447.0,67.0,13.0,1500.0,1834.0,142.0,1740,2056.0,196.0,0,,0,180.0,311.0,156.0,1182.0,67,0,129,0,0,1500231
2024,3,23,6,2024-03-23,WN,2732.0,STL,"St. Louis, MO",Missouri,MIA,"Miami, FL",Florida,1450,1532.0,42.0,21.0,1553.0,1909.0,119.0,1840,2108.0,148.0,0,,0,170.0,283.0,143.0,1068.0,0,0,133,0,15,1500236
